entry_time,direction,entry,entry_deal,entry_comment,exit_time,exit,exit_deal,profit,exit_comment,report,split,is_grid,is_trend
2025-06-06 19:15:00,SELL,3329.28,2,Trend sell v7: candle-confirme,2025-06-09 01:05:00,3314.11,3,15.17,sl 3314.11,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-07-07 07:25:00,SELL,3308.02,4,Trend sell v7: candle-confirme,2025-07-07 08:58:40,3314.67,5,-6.65,sl 3314.67,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-07-09 08:00:00,SELL,3293.87,6,Trend sell v7: candle-confirme,2025-07-09 08:41:40,3293.57,7,0.3,sl 3293.57,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-07-24 02:00:00,SELL,3386.8,8,Trend sell v7: candle-confirme,2025-07-24 02:20:40,3390.08,9,-3.28,sl 3390.08,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-07-25 07:45:00,SELL,3358.38,10,Trend sell v7: candle-confirme,2025-07-25 07:56:20,3362.04,11,-3.66,sl 3362.04,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-08-06 12:45:00,SELL,3362.32,12,Trend sell v7: candle-confirme,2025-08-06 13:13:40,3362.02,13,0.3,sl 3362.02,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-08-11 12:05:00,SELL,3359.68,14,Trend sell v7: candle-confirme,2025-08-11 12:22:40,3359.38,15,0.3,sl 3359.38,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-08-14 19:15:00,SELL,3334.12,16,Trend sell v7: candle-confirme,2025-08-15 06:30:40,3342.05,17,-7.93,sl 3342.05,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-08-19 19:15:00,SELL,3320.8,18,Trend sell v7: candle-confirme,2025-08-20 03:49:40,3316.0,19,4.8,sl 3316.00,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-08-20 22:15:00,BUY,3348.12,20,Trend buy v7: candle-confirmed,2025-08-21 02:05:40,3348.42,21,0.3,sl 3348.42,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-09-30 22:20:00,BUY,3851.56,22,Trend buy v7: candle-confirmed,2025-09-30 22:55:40,3860.07,23,8.51,tp 3860.07,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-10-02 14:20:00,BUY,3885.1,24,Trend buy v7: candle-confirmed,2025-10-02 15:14:20,3885.4,25,0.3,sl 3885.40,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-10-09 13:55:00,BUY,4041.85,26,Trend buy v7: candle-confirmed,2025-10-09 14:02:40,4042.15,27,0.3,sl 4042.15,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-10-21 13:20:00,SELL,4251.81,28,Trend sell v7: candle-confirme,2025-10-21 14:16:40,4272.73,29,-20.92,sl 4272.73,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-10-27 02:30:00,SELL,4074.55,30,Trend sell v7: candle-confirme,2025-10-27 03:33:40,4074.25,31,0.3,sl 4074.25,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-11-18 06:20:00,SELL,4007.39,32,Trend sell v7: candle-confirme,2025-11-18 07:21:40,4019.57,33,-12.18,sl 4019.57,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-12-08 18:00:00,SELL,4182.84,34,Trend sell v7: candle-confirme,2025-12-08 18:28:40,4194.36,35,-11.52,sl 4194.36,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True
2025-12-10 18:45:00,SELL,4202.38,36,Grid sell: range 2.92 ATR mean,2025-12-10 19:00:00,4205.01,37,-2.63,Max loss R close,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,True,False
2024-03-28 07:15:00,BUY,2196.53,2,Trend buy v7: candle-confirmed,2024-03-28 09:00:40,2196.83,3,0.3,sl 2196.83,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-04-30 07:15:00,SELL,2327.51,4,Trend sell v7: candle-confirme,2024-04-30 10:25:40,2318.62,5,8.89,tp 2318.62,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-05-09 01:50:00,SELL,2309.0,6,Trend sell v7: candle-confirme,2024-05-09 04:06:40,2310.81,7,-1.81,sl 2310.81,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-05-23 10:50:00,SELL,2356.48,8,Trend sell v7: candle-confirme,2024-05-23 11:38:40,2361.54,9,-5.06,sl 2361.54,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-05-23 19:45:00,SELL,2341.24,10,Trend sell v7: candle-confirme,2024-05-24 01:23:40,2332.03,11,9.21,sl 2332.03,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
