file,expert,symbol,timeframe,from_date,to_date,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,sharpe_ratio,total_trades,deals,max_balance_drawdown,max_equity_drawdown,relative_balance_drawdown,relative_equity_drawdown,winning_trades,losing_trades,largest_profit_trade,largest_loss_trade,average_profit_trade,average_loss_trade
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_be040_quality_latest_20260522_20260606.htm,XAUUSD_Regime_EA,XAUUSD,M15,2026.05.22,2026.06.06,-6.02,10.94,-16.96,0.65,-2.01,-0.04,3,6,16.96,41.3,16.96,41.16,1,2,10.94,-10.1,10.94,-8.41
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_be040_quality_test_20240601_20250601.htm,XAUUSD_Regime_EA,XAUUSD,M15,2024.06.01,2025.06.01,22.26,120.78,-98.52,1.23,0.57,2.95,39,78,32.26,45.09,27.76,33.3,21,18,45.38,-18.02,5.75,-5.36
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_be040_quality_train_20230102_20240601.htm,XAUUSD_Regime_EA,XAUUSD,M15,2023.01.02,2024.06.01,48.12,70.14,-22.02,3.19,2.0,19.64,24,48,7.02,9.93,4.96,7.68,16,8,12.51,-5.06,4.38,-2.6
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_be040_quality_valid_20250601_20260606.htm,XAUUSD_Regime_EA,XAUUSD,M15,2025.06.01,2026.06.06,230.06,304.92,-74.86,4.07,7.19,23.27,32,64,23.85,42.66,17.81,27.24,23,9,60.68,-12.18,13.26,-8.14
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_be040_quality_verylong_20230102_20260606.htm,XAUUSD_Regime_EA,XAUUSD,M15,2023.01.02,2026.06.06,300.44,495.84,-195.4,2.54,3.16,12.78,95,190,32.52,45.09,19.63,24.57,60,35,60.68,-18.02,8.26,-5.45
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_candle2_maxlossr090_latest_20260522_20260606.htm,XAUUSD_Regime_EA,XAUUSD,M15,2026.05.22,2026.06.06,-6.02,10.94,-16.96,0.65,-2.01,-0.04,3,6,16.96,41.3,16.96,41.16,1,2,10.94,-10.1,10.94,-8.41
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_candle2_maxlossr090_test_20240601_20250601.htm,XAUUSD_Regime_EA,XAUUSD,M15,2024.06.01,2025.06.01,28.47,120.48,-92.01,1.31,0.77,3.89,37,74,27.89,45.09,24.0,32.26,20,17,45.38,-16.26,6.02,-5.3
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_candle2_maxlossr090_train_20230102_20240601.htm,XAUUSD_Regime_EA,XAUUSD,M15,2023.01.02,2024.06.01,45.01,66.78,-21.77,3.07,1.88,19.6,24,48,7.02,9.93,4.95,7.68,16,8,12.51,-5.06,4.17,-2.57
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_candle2_maxlossr090_valid_20250601_20260606.htm,XAUUSD_Regime_EA,XAUUSD,M15,2025.06.01,2026.06.06,230.06,304.92,-74.86,4.07,7.19,23.31,32,64,23.85,42.66,17.81,27.24,23,9,60.68,-12.18,13.26,-8.14
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_candle2_maxlossr090_verylong_20230102_20260606.htm,XAUUSD_Regime_EA,XAUUSD,M15,2023.01.02,2026.06.06,303.54,492.18,-188.64,2.61,3.26,13.19,93,186,30.68,45.09,17.3,24.4,59,34,60.68,-16.26,8.34,-5.41
