entry_time,exit_time,direction,entry,exit,sl,tp,profit,profit_r,reason
2025-01-27 14:15:00,2025-01-27 14:45:00,SELL,2758.18,2757.8799999999997,2757.8799999999997,2748.083232725999,0.3,0.09,sl
2025-03-22 02:30:00,2025-03-22 04:15:00,SELL,3011.03,3018.126693213018,3018.126693213018,2990.4495896822486,-7.1,-1.0,sl
2025-03-25 03:15:00,2025-03-25 03:45:00,SELL,3011.48,3011.18,3011.18,2996.052848885247,0.3,0.06,sl
2025-03-27 16:15:00,2025-03-27 16:30:00,BUY,3035.38,3031.822833461699,3031.822833461699,3041.4271831151123,-3.56,-1.0,sl
2025-04-09 06:15:00,2025-04-09 10:00:00,SELL,2979.61,2987.6953494243253,2987.6953494243253,2956.1624866694574,-8.09,-1.0,sl
2025-04-24 02:15:00,2025-04-24 03:15:00,SELL,3275.3,3293.047071248402,3293.047071248402,3223.8334933796345,-17.75,-1.0,sl
2025-04-25 19:00:00,2025-04-25 21:15:00,SELL,3303.48,3302.301853468757,3302.301853468757,3272.977906052609,1.18,0.11,sl
2025-05-13 05:15:00,2025-05-13 05:45:00,SELL,3221.43,3227.5175352420165,3227.5175352420165,3203.7761477981517,-6.09,-1.0,sl
2025-05-20 21:45:00,2025-05-20 23:00:00,BUY,3238.27,3238.57,3238.57,3248.0383818981513,0.3,0.05,sl
2025-05-27 20:30:00,2025-05-27 23:15:00,SELL,3297.09,3296.79,3296.79,3269.040534036436,0.3,0.03,sl
2025-06-25 02:00:00,2025-06-25 02:15:00,SELL,3300.43,3309.267567287902,3309.267567287902,3274.801054865084,-8.84,-1.0,sl
2025-09-01 16:00:00,2025-09-01 17:30:00,BUY,3476.81,3487.9109664143916,3477.6484048850425,3487.9109664143916,11.1,1.7,tp
2025-09-20 03:00:00,2025-09-20 05:45:00,BUY,3672.61,3682.8990301891517,3677.4402830315294,3682.8990301891517,10.29,1.7,tp
2025-10-10 14:00:00,2025-10-10 15:00:00,SELL,3974.34,3948.11328460457,3973.3763554000225,3948.11328460457,26.23,2.9,tp
2025-10-28 07:45:00,2025-10-28 10:30:00,SELL,3986.17,3997.0405619444978,3997.0405619444978,3954.645370360957,-10.87,-1.0,sl
2025-12-04 15:15:00,2025-12-04 15:30:00,SELL,4191.87,4197.967480893811,4197.967480893811,4174.187305407949,-6.1,-1.0,sl
2025-12-09 02:00:00,2025-12-09 02:15:00,SELL,4179.28,4190.804388220496,4190.804388220496,4145.859274160562,-11.52,-1.0,sl
2026-01-06 02:45:00,2026-01-06 03:00:00,BUY,4450.88,4437.788741571364,4437.788741571364,4473.135139328681,-13.09,-1.0,sl
2026-01-08 12:30:00,2026-01-08 13:30:00,SELL,4437.05,4446.421204290427,4446.421204290427,4409.8735075577615,-9.37,-1.0,sl
2026-03-04 03:30:00,2026-03-04 04:15:00,SELL,5074.94,5113.945371010145,5113.945371010145,4961.824424070577,-39.01,-1.0,sl
2026-03-12 04:30:00,2026-03-12 06:45:00,SELL,5168.05,5181.838106810226,5181.838106810226,5128.0644902503445,-13.79,-1.0,sl
2026-03-18 21:00:00,2026-03-18 21:30:00,SELL,4989.13,4964.35887351147,4988.83,4964.35887351147,24.77,2.9,tp
2026-05-04 19:00:00,2026-05-04 21:00:00,SELL,4575.53,4544.427323746304,4586.255060777136,4544.427323746304,31.1,2.9,tp
2026-05-05 05:15:00,2026-05-05 06:00:00,SELL,4517.96,4517.66,4517.66,4476.8821343180225,0.3,0.02,sl
2026-05-15 14:30:00,2026-05-15 16:30:00,SELL,4609.23,4570.67124758393,4605.358364349455,4570.67124758393,38.56,2.9,tp
2026-06-10 04:45:00,2026-06-10 11:30:00,SELL,4257.18,4206.072444134769,4233.0846057038225,4206.072444134769,51.11,2.9,tp
