entry_time,exit_time,direction,entry,exit,sl,tp,profit,profit_r,reason
2026-01-06 02:45:00,2026-01-06 03:00:00,BUY,4450.88,4437.788741571364,4437.788741571364,4473.135139328681,-13.09,-1.0,sl
2026-01-08 12:30:00,2026-01-08 13:30:00,SELL,4437.05,4446.421204290427,4446.421204290427,4409.8735075577615,-9.37,-1.0,sl
2026-02-02 13:35:00,2026-02-02 14:05:00,SELL,4654.36,4654.0599999999995,4654.0599999999995,4440.660855385907,0.3,0.0,sl
2026-02-05 15:10:00,2026-02-05 15:45:00,SELL,4852.97,4893.060350767766,4893.060350767766,4736.70798277348,-40.09,-1.0,sl
2026-02-13 03:55:00,2026-02-13 04:35:00,SELL,4941.15,4940.849999999999,4940.849999999999,4824.312948941975,0.3,0.01,sl
2026-03-04 03:30:00,2026-03-04 04:25:00,SELL,5074.94,5113.945371010145,5113.945371010145,4961.824424070577,-39.01,-1.0,sl
2026-03-12 04:30:00,2026-03-12 04:50:00,SELL,5168.05,5167.75,5167.75,5128.0644902503445,0.3,0.02,sl
2026-03-17 03:25:00,2026-03-17 04:05:00,SELL,4979.89,4996.42,4997.639255920952,4928.417157829242,-16.53,-0.93,maxloss
2026-03-18 21:00:00,2026-03-18 21:35:00,SELL,4989.13,4964.35887351147,4988.83,4964.35887351147,24.77,2.9,tp
2026-03-19 02:40:00,2026-03-19 03:50:00,SELL,4864.55,4885.506215932542,4885.506215932542,4803.77697379563,-20.96,-1.0,sl
2026-03-23 12:50:00,2026-03-23 17:25:00,SELL,4407.38,4242.572896518679,4314.975050317813,4242.572896518679,164.81,2.9,tp
2026-03-30 19:05:00,2026-03-30 22:20:00,BUY,4535.02,4535.320000000001,4535.320000000001,4561.344862290001,0.3,0.02,sl
2026-04-23 15:40:00,2026-04-23 16:50:00,SELL,4701.83,4712.058107020988,4712.058107020988,4672.168489639133,-10.23,-1.0,sl
2026-04-28 14:50:00,2026-04-28 15:40:00,SELL,4669.86,4669.5599999999995,4669.5599999999995,4650.521568400544,0.3,0.04,sl
2026-05-04 19:00:00,2026-05-04 21:05:00,SELL,4575.53,4544.427323746304,4575.23,4544.427323746304,31.1,2.9,tp
2026-05-05 05:05:00,2026-05-05 06:05:00,SELL,4519.4,4519.099999999999,4519.099999999999,4477.570462674641,0.3,0.02,sl
2026-05-11 10:55:00,2026-05-11 11:30:00,SELL,4691.65,4689.841573577366,4689.841573577366,4664.106549319199,1.81,0.19,sl
2026-05-15 14:30:00,2026-05-15 15:05:00,SELL,4609.23,4621.53,4622.526121522782,4570.67124758393,-12.3,-0.93,maxloss
2026-05-20 06:20:00,2026-05-20 07:10:00,SELL,4486.72,4486.42,4486.42,4457.439765771665,0.3,0.03,sl
2026-05-27 23:55:00,2026-05-28 00:45:00,SELL,4438.92,4428.447915990254,4428.447915990254,4387.786811241042,10.47,0.59,sl
2026-06-08 14:10:00,2026-06-08 15:00:00,SELL,4304.8,4319.544821610314,4319.544821610314,4262.0400173300895,-14.74,-1.0,sl
2026-06-10 04:45:00,2026-06-10 05:20:00,SELL,4257.18,4273.5,4274.803295125942,4206.072444134769,-16.32,-0.93,maxloss
