split,trades,net_profit,profit_factor,win_rate,max_drawdown,max_drawdown_pct,expectancy,avg_r,fast_ema_period,slow_ema_period,adx_period,trend_adx_threshold,range_adx_threshold,rsi_period,trend_buy_max_rsi,trend_sell_min_rsi,atr_period,min_atr_factor,bands_period,range_lookback_bars,range_min_width_atr,range_max_width_atr,range_ema_gap_atr,min_trend_efficiency_ratio,max_trend_choppiness,min_trend_ema_gap_atr,min_trend_di_gap,pullback_atr,breakout_buffer_atr,range_edge_buffer_atr,range_reward_risk,trend_atr_stop_multiplier,trend_reward_risk,long_trend_reward_risk,short_trend_reward_risk,max_signal_bar_atr,allow_range,allow_trend
train,218,-0.38960822046031596,0.8796740774609094,46.330275229357795,0.7631186363403231,0.7627680881318635,-0.0017871936718363117,-0.036697247706421604,21,55,14,22.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.9,1.7,0.0,1.2,True,True
train,209,-0.40102378577085124,0.8287725317327468,47.368421052631575,0.4821807078784417,0.4817897021851169,-0.0019187740945973742,-0.03923444976076577,21,55,14,28.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,1.7,1.7,0.0,1.2,True,True
train,214,-0.42609041412368487,0.8606789111231067,46.728971962616825,0.8348003747755115,0.8341234258764917,-0.001991076701512546,-0.04018691588785011,21,55,14,24.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.9,1.7,0.0,1.2,True,True
train,217,-0.46169021370428026,0.8308982377703596,45.622119815668206,0.7403029305256581,0.7397026106541017,-0.0021276046714482962,-0.06589861751152098,21,55,14,24.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.9,1.7,0.0,1.2,True,True
train,218,-0.4642051621122232,0.8466852781695717,45.87155963302752,0.7620567817855317,0.76165312629765,-0.0021293814775790055,-0.049082568807339175,21,55,14,22.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.9,1.7,0.0,1.2,True,True
train,220,-0.48713165558390986,0.8296398864722131,45.45454545454545,0.7422780092240799,0.7418500317943422,-0.0022142347981086814,-0.06090909090909103,21,55,14,22.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.9,1.7,0.0,1.2,True,True
train,209,-0.48902972326587363,0.7940621977722947,46.889952153110045,0.5701866453734681,0.5697242746876318,-0.0023398551352434146,-0.05215311004784684,21,55,14,28.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.2,1.7,0.0,1.2,True,True
train,209,-0.48902972326587363,0.7940621977722947,46.889952153110045,0.5701866453734681,0.5697242746876318,-0.0023398551352434146,-0.05215311004784684,21,55,14,28.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.9,1.7,0.0,1.2,True,True
train,208,-0.5085438871469001,0.8015324206958703,47.59615384615385,0.5897008092544951,0.589222614316354,-0.002444922534360097,-0.03461538461538442,21,55,14,28.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,1.7,1.7,0.0,1.2,True,True
train,208,-0.5085438871469001,0.8015324206958703,47.59615384615385,0.5897008092544951,0.589222614316354,-0.002444922534360097,-0.03461538461538442,21,55,14,28.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.2,1.7,0.0,1.2,True,True
