split,open_time,close_time,side,regime,reason,entry,sl,tp,exit,exit_reason,pnl,pnl_points,r_multiple,bars_held
train,2024-02-26 10:15:00,2024-02-26 10:15:00,sell,range,range_sell_research,2034.83,2035.523967934236,2034.1360320657639,2035.523967934236,sl,-0.006939679342360706,-0.6939679342360705,-1.0,0
train,2024-02-26 14:15:00,2024-02-26 14:15:00,buy,range,range_buy_research,2031.76,2030.9623286714266,2032.5576713285734,2032.5576713285734,tp,0.00797671328573415,0.7976713285734149,1.0,0
train,2024-03-06 10:00:00,2024-03-06 10:00:00,sell,range,range_sell_research,2128.51,2129.404820105779,2127.6151798942215,2127.6151798942215,tp,0.008948201057787628,0.8948201057787628,1.0,0
train,2024-03-07 12:00:00,2024-03-07 13:15:00,buy,trend_up,trend_buy_research,2157.73,2154.210045522817,2163.7139226112113,2154.210045522817,sl,-0.03519954477183092,-3.5199544771830915,-1.0,5
train,2024-03-07 15:15:00,2024-03-07 15:15:00,sell,range,range_sell_research,2158.1,2159.5344009716364,2156.6655990283634,2159.5344009716364,sl,-0.014344009716364781,-1.434400971636478,-1.0,0
train,2024-03-08 05:15:00,2024-03-08 05:15:00,buy,range,range_buy_research,2155.75,2154.776346365416,2156.723653634584,2156.723653634584,tp,0.00973653634584025,0.973653634584025,1.0,0
train,2024-03-11 17:00:00,2024-03-11 17:00:00,sell,range,range_sell_research,2181.79,2183.33927261633,2180.2407273836698,2180.2407273836698,tp,0.015492726163301995,1.5492726163301995,1.0,0
train,2024-03-11 19:00:00,2024-03-11 19:15:00,sell,range,range_sell_research,2184.34,2186.0075481083213,2182.672451891679,2182.672451891679,tp,0.016675481083211707,1.6675481083211707,1.0,1
train,2024-03-12 06:30:00,2024-03-12 07:15:00,buy,range,range_buy_research,2177.94,2176.9831848153217,2178.8968151846784,2178.8968151846784,tp,0.009568151846783621,0.9568151846783621,1.0,3
train,2024-03-13 09:15:00,2024-03-13 09:30:00,sell,range,range_sell_research,2159.74,2160.68390975072,2158.7960902492796,2158.7960902492796,tp,0.009439097507201951,0.943909750720195,1.0,1
train,2024-03-19 05:30:00,2024-03-19 05:30:00,sell,range,range_sell_research,2161.58,2162.404513539417,2160.7554864605827,2160.7554864605827,tp,0.008245135394172393,0.8245135394172394,1.0,0
train,2024-03-20 06:00:00,2024-03-20 06:45:00,sell,range,range_sell_research,2158.97,2159.7108122913032,2158.2291877086964,2159.7108122913032,sl,-0.007408122913034276,-0.7408122913034276,-1.0,3
